Family,Father,Mother,Sex,Height,Kids,MeanParent,id
168,67,63.5,M,70.2,8,65.25,729
168,67,63.5,M,69.2,8,65.25,730
168,67,63.5,M,68.5,8,65.25,731
168,67,63.5,M,68,8,65.25,732
168,67,63.5,M,67,8,65.25,733
168,67,63.5,M,65.5,8,65.25,734
168,67,63.5,F,63.5,8,65.25,735
169,67,63,M,69,3,65,736
169,67,63,M,68,3,65,737
169,67,63,F,63,3,65,738
170,67.5,62,M,70,5,64.75,739
170,67.5,62,M,69.5,5,64.75,740
170,67.5,62,M,69,5,64.75,741
170,67.5,62,M,68.5,5,64.75,742
170,67.5,62,F,66,5,64.75,743
171,67,61,M,67,1,64,744
172,66,67,M,70.5,8,66.5,745
172,66,67,M,70.5,8,66.5,746
172,66,67,M,67,8,66.5,747
172,66,67,M,66,8,66.5,748
172,66,67,M,66,8,66.5,749
172,66,67,F,62,8,66.5,750
172,66,67,F,62,8,66.5,751
172,66,67,F,61.5,8,66.5,752
173,66,67,M,72,9,66.5,753
173,66,67,M,65,9,66.5,754
173,66,67,M,65,9,66.5,755
173,66,67,F,67,9,66.5,756
173,66,67,F,64,9,66.5,757
173,66,67,F,64,9,66.5,758
173,66,67,F,62,9,66.5,759
173,66,67,F,60,9,66.5,760
173,66,67,F,60,9,66.5,761
174,66,66,M,66,5,66,762
174,66,66,M,65,5,66,763
174,66,66,F,67,5,66,764
174,66,66,F,66.5,5,66,765
174,66,66,F,65.5,5,66,766
175,66,66,M,72,6,66,767
175,66,66,M,68,6,66,768
175,66,66,F,66,6,66,769
175,66,66,F,65,6,66,770
175,66,66,F,62,6,66,771
175,66,66,F,61,6,66,772
176,66.5,65,M,68.7,8,65.75,773
176,66.5,65,M,68.5,8,65.75,774
176,66.5,65,M,66.5,8,65.75,775
176,66.5,65,M,64.5,8,65.75,776
176,66.5,65,F,62.5,8,65.75,777
176,66.5,65,F,60.5,8,65.75,778
176,66.5,65,F,60.5,8,65.75,779
176,66.5,65,F,57.5,8,65.75,780
177,66,65.5,M,72,5,65.75,781
177,66,65.5,M,71,5,65.75,782
177,66,65.5,M,67,5,65.75,783
177,66,65.5,F,66,5,65.75,784
177,66,65.5,F,65,5,65.75,785
178,66,63,M,70,1,64.5,786
179,66,63.5,F,64.5,2,64.75,787
179,66,63.5,F,62,2,64.75,788
180,66.5,63,M,67.2,6,64.75,789
180,66.5,63,M,67,6,64.75,790
180,66.5,63,M,65,6,64.75,791
180,66.5,63,F,65,6,64.75,792
180,66.5,63,F,65,6,64.75,793
180,66.5,63,F,63,6,64.75,794
181,66.5,62.5,M,70,7,64.5,795
181,66.5,62.5,M,68,7,64.5,796
181,66.5,62.5,F,63.5,7,64.5,797
181,66.5,62.5,F,62.5,7,64.5,798
181,66.5,62.5,F,62.5,7,64.5,799
181,66.5,62.5,F,62.5,7,64.5,800
181,66.5,62.5,F,62.5,7,64.5,801
182,66,61.5,M,70,1,63.75,802
183,66,60,M,68,4,63,803
183,66,60,M,67,4,63,804
183,66,60,M,65,4,63,805
183,66,60,F,60,4,63,806
184,66,60,M,65,1,63,807
185,66,59,M,68,15,62.5,808
185,66,59,M,67,15,62.5,809
185,66,59,M,66.5,15,62.5,810
185,66,59,M,66,15,62.5,811
185,66,59,M,65.7,15,62.5,812
185,66,59,M,65.5,15,62.5,813
185,66,59,M,65,15,62.5,814
185,66,59,F,65,15,62.5,815
185,66,59,F,64,15,62.5,816
185,66,59,F,63,15,62.5,817
185,66,59,F,62,15,62.5,818
185,66,59,F,61,15,62.5,819
185,66,59,F,60,15,62.5,820
185,66,59,F,58,15,62.5,821
185,66,59,F,57,15,62.5,822
186,65,67,M,66.5,4,66,823
186,65,67,M,66,4,66,824
186,65,67,M,66,4,66,825
186,65,67,F,65,4,66,826
187,65,67,F,63,1,66,827
188,65,66,M,63,4,65.5,828
188,65,66,F,63,4,65.5,829
188,65,66,F,63,4,65.5,830
188,65,66,F,60,4,65.5,831
190,65,65,M,69,9,65,832
190,65,65,M,68,9,65,833
190,65,65,M,68,9,65,834
190,65,65,F,65,9,65,835
190,65,65,F,65,9,65,836
190,65,65,F,62,9,65,837
190,65,65,F,62,9,65,838
190,65,65,F,61,9,65,839
190,65,65,F,59,9,65,840
191,65,65.5,M,70.7,2,65.25,841
191,65,65.5,F,65.5,2,65.25,842
192,65,65,M,69.2,6,65,843
192,65,65,M,69,6,65,844
192,65,65,M,68,6,65,845
192,65,65,M,67.7,6,65,846
192,65,65,F,64.5,6,65,847
192,65,65,F,60.5,6,65,848
193,65,64,M,67,6,64.5,849
193,65,64,M,67,6,64.5,850
193,65,64,F,64,6,64.5,851
193,65,64,F,64,6,64.5,852
193,65,64,F,62.5,6,64.5,853
193,65,64,F,60.5,6,64.5,854
194,65,63,M,70,2,64,855
194,65,63,F,63,2,64,856
195,65,63,M,66,3,64,857
195,65,63,M,66,3,64,858
195,65,63,F,63,3,64,859
196,65.5,63,M,71,4,64.25,860
196,65.5,63,M,71,4,64.25,861
196,65.5,63,M,69,4,64.25,862
196,65.5,63,F,63.5,4,64.25,863
197,65.5,60,M,68,5,62.75,864
197,65.5,60,M,68,5,62.75,865
197,65.5,60,M,67,5,62.75,866
197,65.5,60,M,67,5,62.75,867
197,65.5,60,F,62,5,62.75,868
198,64,64,M,71.5,7,64,869
198,64,64,M,68,7,64,870
198,64,64,F,65.5,7,64,871
198,64,64,F,64,7,64,872
198,64,64,F,62,7,64,873
198,64,64,F,62,7,64,874
198,64,64,F,61,7,64,875
199,64,64,M,70.5,7,64,876
199,64,64,M,68,7,64,877
199,64,64,F,67,7,64,878
199,64,64,F,65,7,64,879
199,64,64,F,64,7,64,880
199,64,64,F,64,7,64,881
199,64,64,F,60,7,64,882
200,64,63,M,64.5,1,63.5,883
201,64,60,M,66,2,62,884
201,64,60,F,60,2,62,885
203,62,66,M,64,3,64,886
203,62,66,F,62,3,64,887
203,62,66,F,61,3,64,888
204,62.5,63,M,66.5,2,62.75,889
204,62.5,63,F,57,2,62.75,890
